id,hitId,qInd,motionType,effortsLeft,effortsRight,selected0,selected1
"A11BUIVLGWS6O4 ",26,6,0,"[0,-1,-1,1]","[0,0,1,1]",0,1
"A11BUIVLGWS6O4 ",26,7,0,"[1,-1,1,0]","[0,1,0,-1]",1,2
"A11BUIVLGWS6O4 ",26,8,0,"[0,1,1,-1]","[1,0,-1,1]",1,2
"A11BUIVLGWS6O4 ",26,9,0,"[0,0,1,1]","[-1,0,-1,-1]",0,1
"A11BUIVLGWS6O4 ",26,10,0,"[-1,1,0,0]","[1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",26,11,0,"[-1,0,0,1]","[-1,0,-1,-1]",0,1
"A11BUIVLGWS6O4 ",28,0,0,"[0,1,-1,-1]","[-1,0,-1,0]",1,2
"A11BUIVLGWS6O4 ",28,1,0,"[0,1,-1,-1]","[-1,0,-1,0]",0,1
"A11BUIVLGWS6O4 ",28,2,0,"[1,-1,0,0]","[1,1,0,1]",1,2
"A11BUIVLGWS6O4 ",28,3,0,"[0,1,1,1]","[-1,0,-1,-1]",0,1
"A11BUIVLGWS6O4 ",28,4,0,"[-1,-1,0,-1]","[-1,1,1,0]",1,2
"A11BUIVLGWS6O4 ",28,5,0,"[1,-1,-1,0]","[-1,1,0,-1]",0,1
"A11BUIVLGWS6O4 ",28,6,0,"[0,-1,1,1]","[-1,-1,1,0]",0,1
"A11BUIVLGWS6O4 ",28,7,0,"[-1,1,-1,0]","[0,1,1,-1]",0,2
"A11BUIVLGWS6O4 ",28,8,0,"[-1,-1,0,-1]","[1,1,1,0]",0,2
"A11BUIVLGWS6O4 ",28,9,0,"[0,1,1,1]","[1,0,1,1]",1,2
"A11BUIVLGWS6O4 ",28,10,0,"[-1,-1,0,0]","[-1,0,1,-1]",0,1
"A11BUIVLGWS6O4 ",28,11,0,"[0,1,-1,-1]","[0,1,1,-1]",0,2
"A11BUIVLGWS6O4 ",29,0,0,"[1,0,-1,-1]","[1,0,1,-1]",0,2
"A11BUIVLGWS6O4 ",29,1,0,"[1,0,-1,-1]","[1,0,1,-1]",0,2
"A11BUIVLGWS6O4 ",29,2,0,"[-1,1,0,1]","[-1,0,-1,-1]",1,2
"A11BUIVLGWS6O4 ",29,3,0,"[-1,0,1,0]","[-1,1,-1,0]",1,2
"A11BUIVLGWS6O4 ",29,4,0,"[1,-1,0,0]","[1,1,0,-1]",0,1
"A11BUIVLGWS6O4 ",29,5,0,"[0,1,0,-1]","[1,0,1,0]",0,2
"A11BUIVLGWS6O4 ",29,6,0,"[1,-1,-1,0]","[0,-1,0,-1]",0,1
"A11BUIVLGWS6O4 ",29,7,0,"[0,1,-1,-1]","[1,0,-1,0]",1,2
"A11BUIVLGWS6O4 ",29,8,0,"[-1,0,1,0]","[1,0,1,0]",1,2
"A11BUIVLGWS6O4 ",29,9,0,"[-1,1,0,1]","[1,-1,-1,0]",1,2
"A11BUIVLGWS6O4 ",29,10,0,"[1,0,-1,-1]","[1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",29,11,0,"[-1,0,1,0]","[0,-1,-1,-1]",0,1
"A11BUIVLGWS6O4 ",37,0,0,"[1,0,1,1]","[0,1,1,1]",0,1
"A11BUIVLGWS6O4 ",41,0,0,"[0,1,0,-1]","[0,1,1,1]",1,2
"A11BUIVLGWS6O4 ",41,1,0,"[0,1,0,-1]","[0,1,1,1]",1,2
"A11BUIVLGWS6O4 ",41,2,0,"[1,1,-1,0]","[1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",41,3,0,"[0,-1,1,-1]","[-1,-1,0,-1]",1,2
"A11BUIVLGWS6O4 ",41,4,0,"[0,-1,0,-1]","[0,0,1,1]",0,2
"A11BUIVLGWS6O4 ",41,5,0,"[0,1,0,-1]","[-1,-1,1,0]",0,2
"A11BUIVLGWS6O4 ",41,6,0,"[0,-1,-1,1]","[-1,0,-1,1]",1,2
"A11BUIVLGWS6O4 ",41,7,0,"[0,-1,0,-1]","[-1,-1,1,0]",1,2
"A11BUIVLGWS6O4 ",41,8,0,"[1,-1,1,0]","[1,-1,0,-1]",1,2
"A11BUIVLGWS6O4 ",41,9,0,"[0,-1,1,1]","[0,-1,1,-1]",0,1
"A11BUIVLGWS6O4 ",41,10,0,"[1,0,-1,1]","[1,0,1,-1]",0,1
"A11BUIVLGWS6O4 ",41,11,0,"[1,1,0,-1]","[-1,-1,1,0]",0,1
"A11BUIVLGWS6O4 ",46,0,0,"[0,1,1,-1]","[-1,1,1,0]",1,2
"A11BUIVLGWS6O4 ",46,1,0,"[0,1,1,-1]","[-1,1,1,0]",1,2
"A11BUIVLGWS6O4 ",46,2,0,"[-1,0,1,-1]","[-1,-1,1,0]",1,2
"A11BUIVLGWS6O4 ",46,3,0,"[1,0,1,0]","[0,-1,-1,-1]",0,1
"A11BUIVLGWS6O4 ",46,4,0,"[1,0,1,-1]","[-1,0,-1,-1]",1,2
"A11BUIVLGWS6O4 ",46,5,0,"[0,1,1,-1]","[0,1,-1,1]",1,2
"A11BUIVLGWS6O4 ",46,6,0,"[-1,1,0,1]","[1,0,-1,-1]",0,1
"A11BUIVLGWS6O4 ",46,7,0,"[-1,0,0,-1]","[1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",46,8,0,"[0,-1,-1,1]","[-1,0,1,1]",0,2
"A11BUIVLGWS6O4 ",46,9,0,"[0,1,-1,-1]","[-1,0,1,1]",1,2
"A11BUIVLGWS6O4 ",46,10,0,"[-1,-1,1,0]","[-1,-1,-1,0]",1,2
"A11BUIVLGWS6O4 ",46,11,0,"[1,0,0,1]","[0,1,0,-1]",0,1
"A11BUIVLGWS6O4 ",57,0,0,"[1,0,-1,-1]","[1,1,0,-1]",0,2
"A11BUIVLGWS6O4 ",57,1,0,"[1,0,-1,-1]","[1,1,0,-1]",0,1
"A11BUIVLGWS6O4 ",57,2,0,"[-1,1,0,0]","[1,0,-1,-1]",0,2
"A11BUIVLGWS6O4 ",57,3,0,"[1,-1,0,1]","[0,1,1,-1]",0,1
"A11BUIVLGWS6O4 ",57,4,0,"[-1,0,1,1]","[0,-1,1,-1]",1,2
"A11BUIVLGWS6O4 ",57,5,0,"[1,0,0,1]","[-1,-1,1,0]",0,1
"A11BUIVLGWS6O4 ",57,6,0,"[0,1,-1,1]","[0,1,1,-1]",0,1
"A11BUIVLGWS6O4 ",57,7,0,"[1,-1,0,1]","[-1,1,-1,0]",0,1
"A11BUIVLGWS6O4 ",57,8,0,"[-1,0,1,1]","[-1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",58,0,0,"[-1,0,0,1]","[1,0,1,1]",0,1
"A11BUIVLGWS6O4 ",58,1,0,"[-1,0,0,1]","[1,0,1,1]",0,2
"A11BUIVLGWS6O4 ",58,2,0,"[0,-1,1,1]","[0,-1,1,-1]",1,2
"A11BUIVLGWS6O4 ",58,3,0,"[1,0,-1,-1]","[-1,1,0,0]",1,2
"A11BUIVLGWS6O4 ",58,4,0,"[1,1,-1,0]","[1,0,0,1]",0,1
"A11BUIVLGWS6O4 ",58,5,0,"[1,-1,0,0]","[1,1,-1,0]",0,1
"A11BUIVLGWS6O4 ",58,6,0,"[-1,1,0,0]","[-1,1,-1,0]",1,2
"A11BUIVLGWS6O4 ",58,7,0,"[1,1,0,1]","[-1,1,0,1]",1,2
"A11BUIVLGWS6O4 ",58,8,0,"[1,0,-1,0]","[-1,1,1,0]",0,1
"A11BUIVLGWS6O4 ",58,9,0,"[0,1,0,-1]","[1,-1,1,0]",1,2
"A11BUIVLGWS6O4 ",58,10,0,"[0,1,1,1]","[0,1,-1,-1]",0,1
"A11BUIVLGWS6O4 ",58,11,0,"[-1,-1,0,1]","[-1,0,-1,1]",0,1
"A11BUIVLGWS6O4 ",60,0,0,"[1,1,0,1]","[-1,0,1,-1]",0,1
"A11BUIVLGWS6O4 ",60,1,0,"[1,1,0,1]","[-1,0,1,-1]",0,1
"A11BUIVLGWS6O4 ",60,2,0,"[-1,1,0,-1]","[0,1,-1,-1]",0,2
"A11BUIVLGWS6O4 ",60,3,0,"[1,-1,-1,0]","[-1,1,0,0]",0,2
"A11BUIVLGWS6O4 ",60,4,0,"[0,-1,0,1]","[0,0,1,1]",0,1
"A11BUIVLGWS6O4 ",60,5,0,"[1,0,-1,1]","[-1,-1,1,0]",1,2
"A11BUIVLGWS6O4 ",60,6,0,"[1,0,1,0]","[-1,-1,1,0]",1,2
"A11BUIVLGWS6O4 ",62,0,0,"[-1,1,-1,0]","[1,-1,0,-1]",0,2
"A11BUIVLGWS6O4 ",62,1,0,"[-1,1,-1,0]","[1,-1,0,-1]",1,2
"A11BUIVLGWS6O4 ",62,2,0,"[-1,1,-1,0]","[0,1,-1,1]",1,2
"A11BUIVLGWS6O4 ",62,3,0,"[0,-1,-1,1]","[1,0,-1,1]",1,2
"A11BUIVLGWS6O4 ",62,4,0,"[1,0,1,-1]","[1,0,-1,0]",1,2
"A11BUIVLGWS6O4 ",62,5,0,"[0,1,-1,-1]","[1,-1,1,0]",0,2
"A11BUIVLGWS6O4 ",62,6,0,"[1,0,-1,1]","[1,-1,0,0]",0,2
"A11BUIVLGWS6O4 ",62,7,0,"[-1,-1,0,-1]","[1,0,1,-1]",0,2
"A11BUIVLGWS6O4 ",62,8,0,"[-1,1,0,0]","[1,-1,0,1]",1,2
"A11BUIVLGWS6O4 ",63,0,0,"[-1,-1,-1,0]","[1,0,0,-1]",0,1
"A11BUIVLGWS6O4 ",63,1,0,"[-1,-1,-1,0]","[1,0,0,-1]",0,1
"A11BUIVLGWS6O4 ",63,2,0,"[1,0,0,1]","[0,-1,1,-1]",1,2
"A11BUIVLGWS6O4 ",63,3,0,"[-1,0,1,-1]","[-1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",65,0,0,"[-1,0,1,-1]","[0,-1,-1,-1]",1,2
"A11BUIVLGWS6O4 ",65,1,0,"[-1,0,1,-1]","[0,-1,-1,-1]",1,2
"A11BUIVLGWS6O4 ",65,2,0,"[0,1,-1,-1]","[0,-1,0,-1]",1,2
"A11BUIVLGWS6O4 ",65,3,0,"[1,1,0,1]","[1,-1,0,-1]",0,1
"A11BUIVLGWS6O4 ",65,4,0,"[1,1,0,1]","[-1,1,1,0]",0,1
"A11BUIVLGWS6O4 ",65,5,0,"[1,-1,0,0]","[-1,0,0,1]",1,2
"A11BUIVLGWS6O4 ",65,6,0,"[1,0,1,0]","[0,1,1,1]",0,1
"A11BUIVLGWS6O4 ",65,7,0,"[-1,0,1,0]","[-1,-1,-1,0]",1,2
"A11BUIVLGWS6O4 ",65,8,0,"[0,-1,-1,1]","[1,0,1,-1]",0,1
"A11BUIVLGWS6O4 ",65,9,0,"[1,0,0,-1]","[1,0,-1,1]",0,1
"A11BUIVLGWS6O4 ",65,10,0,"[-1,0,-1,-1]","[1,-1,1,0]",1,2
"A11BUIVLGWS6O4 ",65,11,0,"[1,0,-1,1]","[-1,0,1,-1]",0,1
"A11BUIVLGWS6O4 ",75,0,0,"[1,0,-1,0]","[0,-1,1,1]",0,2
"A11BUIVLGWS6O4 ",82,0,0,"[1,0,-1,-1]","[-1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",82,1,0,"[1,0,-1,-1]","[-1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",82,2,0,"[1,-1,0,-1]","[1,0,-1,0]",0,1
"A11BUIVLGWS6O4 ",82,3,0,"[-1,0,1,0]","[1,-1,0,1]",1,2
"A11BUIVLGWS6O4 ",82,4,0,"[-1,0,0,-1]","[-1,1,0,1]",1,2
"A11BUIVLGWS6O4 ",82,5,0,"[1,1,0,0]","[1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",82,6,0,"[1,-1,0,1]","[1,1,0,-1]",0,1
"A11BUIVLGWS6O4 ",82,7,0,"[-1,1,1,0]","[-1,-1,1,0]",0,2
"A11BUIVLGWS6O4 ",82,8,0,"[1,0,1,-1]","[-1,0,0,1]",1,2
"A11BUIVLGWS6O4 ",82,9,0,"[-1,-1,0,0]","[-1,-1,0,1]",0,1
"A11BUIVLGWS6O4 ",82,10,0,"[1,1,0,-1]","[0,0,1,1]",0,1
"A11BUIVLGWS6O4 ",82,11,0,"[1,0,-1,-1]","[1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",87,0,0,"[-1,0,-1,0]","[-1,0,-1,1]",1,2
"A11Q1YQ2ICN0KF ",87,0,0,"[-1,-1,0,1]","[1,-1,0,0]",1,2
"A12L0CZ2CLNSMY ",0,0,0,"[-1,0,0,1]","[-1,1,1,0]",0,1
"A12L0CZ2CLNSMY ",62,0,0,"[1,0,-1,0]","[1,-1,1,0]",0,1
"A12L0CZ2CLNSMY ",62,1,0,"[1,0,-1,0]","[1,-1,1,0]",0,2
"A12L0CZ2CLNSMY ",62,2,0,"[1,0,1,1]","[1,1,0,1]",1,2
"A12L0CZ2CLNSMY ",62,3,0,"[-1,-1,-1,0]","[-1,-1,1,0]",0,2
"A12L0CZ2CLNSMY ",62,4,0,"[1,0,-1,-1]","[-1,0,0,1]",1,2
"A12L0CZ2CLNSMY ",62,5,0,"[0,0,1,1]","[-1,0,0,-1]",0,1
"A12L0CZ2CLNSMY ",62,6,0,"[-1,0,1,0]","[0,1,-1,-1]",0,1
"A12L0CZ2CLNSMY ",62,7,0,"[0,1,1,-1]","[1,-1,0,-1]",1,2
"A12L0CZ2CLNSMY ",62,8,0,"[-1,0,-1,-1]","[-1,-1,0,1]",1,2
"A12L0CZ2CLNSMY ",62,9,0,"[-1,-1,1,0]","[0,1,1,1]",0,1
"A12L0CZ2CLNSMY ",62,10,0,"[-1,0,-1,-1]","[1,-1,1,0]",1,2
"A12L0CZ2CLNSMY ",62,11,0,"[-1,0,1,1]","[0,-1,1,-1]",1,2
"A12L0CZ2CLNSMY ",63,0,0,"[-1,0,1,1]","[-1,-1,0,0]",0,2
"A12MUH7GQDNCLP ",8,0,0,"[1,0,1,1]","[1,-1,0,1]",1,2
"A12MUH7GQDNCLP ",8,1,0,"[1,0,1,1]","[1,-1,0,1]",1,2
"A12MUH7GQDNCLP ",8,2,0,"[0,-1,0,-1]","[-1,1,0,-1]",1,2
"A12MUH7GQDNCLP ",8,3,0,"[-1,-1,0,0]","[0,1,0,-1]",0,1
"A12MUH7GQDNCLP ",8,4,0,"[0,-1,-1,1]","[-1,0,1,0]",1,2
"A12MUH7GQDNCLP ",8,5,0,"[-1,1,0,0]","[0,1,1,-1]",0,2
"A12MUH7GQDNCLP ",8,6,0,"[0,-1,0,-1]","[1,-1,0,0]",1,2
"A12MUH7GQDNCLP ",8,7,0,"[-1,-1,0,0]","[-1,0,0,1]",1,2
"A12MUH7GQDNCLP ",8,8,0,"[1,-1,0,-1]","[1,1,0,1]",1,2
"A12MUH7GQDNCLP ",8,9,0,"[-1,1,1,0]","[1,1,0,-1]",1,2
"A12MUH7GQDNCLP ",8,10,0,"[0,-1,0,1]","[0,-1,1,-1]",1,2
"A12MUH7GQDNCLP ",8,11,0,"[-1,0,1,-1]","[0,0,1,1]",1,2
"A12MUH7GQDNCLP ",14,0,0,"[0,-1,0,-1]","[0,1,1,1]",0,1
"A12MUH7GQDNCLP ",14,1,0,"[0,-1,0,-1]","[0,1,1,1]",0,1
"A12MUH7GQDNCLP ",14,2,0,"[1,1,0,1]","[-1,0,-1,-1]",0,1
"A12MUH7GQDNCLP ",14,3,0,"[-1,0,-1,1]","[-1,0,1,1]",1,2
"A12MUH7GQDNCLP ",14,4,0,"[-1,-1,0,1]","[-1,1,-1,0]",1,2
"A12MUH7GQDNCLP ",14,5,0,"[1,0,0,1]","[0,-1,1,-1]",0,1
"A12MUH7GQDNCLP ",14,6,0,"[0,-1,0,-1]","[1,0,0,-1]",1,2
"A12MUH7GQDNCLP ",14,7,0,"[-1,0,-1,-1]","[1,-1,0,-1]",1,2
"A12MUH7GQDNCLP ",36,0,0,"[-1,0,-1,0]","[0,1,-1,1]",1,2
"A12MUH7GQDNCLP ",36,1,0,"[-1,0,-1,0]","[0,1,-1,1]",1,2
"A12MUH7GQDNCLP ",47,0,0,"[0,-1,1,-1]","[-1,0,-1,0]",1,2
"A12MUH7GQDNCLP ",47,1,0,"[0,-1,1,-1]","[-1,0,-1,0]",0,1
"A12MUH7GQDNCLP ",47,2,0,"[0,1,0,-1]","[1,1,0,-1]",1,2
"A12MUH7GQDNCLP ",47,3,0,"[-1,0,1,-1]","[1,1,1,0]",0,1
"A12MUH7GQDNCLP ",47,4,0,"[0,1,1,1]","[1,-1,0,1]",1,2
"A12MUH7GQDNCLP ",47,5,0,"[1,-1,0,0]","[1,1,-1,0]",0,1
"A12MUH7GQDNCLP ",47,6,0,"[0,1,-1,-1]","[0,1,1,-1]",1,2
"A12MUH7GQDNCLP ",47,7,0,"[1,0,1,-1]","[1,-1,1,0]",0,1
"A12MUH7GQDNCLP ",47,8,0,"[-1,1,0,-1]","[1,0,-1,1]",0,1
"A12MUH7GQDNCLP ",47,9,0,"[-1,0,1,-1]","[1,-1,0,0]",1,2
"A12MUH7GQDNCLP ",47,10,0,"[0,1,1,-1]","[1,0,0,1]",1,2
"A12MUH7GQDNCLP ",47,11,0,"[1,0,1,0]","[-1,0,-1,1]",1,2
"A12MUH7GQDNCLP ",50,0,0,"[0,1,0,-1]","[-1,-1,0,-1]",1,2
"A12MUH7GQDNCLP ",50,1,0,"[0,1,0,-1]","[-1,-1,0,-1]",1,2
"A12MUH7GQDNCLP ",50,2,0,"[0,-1,0,1]","[1,0,-1,0]",1,2
"A12MUH7GQDNCLP ",50,3,0,"[-1,1,1,0]","[-1,1,0,0]",1,2
"A12MUH7GQDNCLP ",50,4,0,"[1,1,1,0]","[-1,1,1,0]",1,2
"A12MUH7GQDNCLP ",50,5,0,"[1,1,0,0]","[-1,-1,1,0]",0,1
"A12MUH7GQDNCLP ",50,6,0,"[-1,-1,1,0]","[1,1,-1,0]",0,1
"A12MUH7GQDNCLP ",50,7,0,"[-1,-1,-1,0]","[1,1,-1,0]",1,2
"A12MUH7GQDNCLP ",50,8,0,"[-1,0,-1,-1]","[0,1,1,-1]",1,2
"A12MUH7GQDNCLP ",50,9,0,"[-1,-1,0,1]","[1,0,1,0]",1,2
"A12MUH7GQDNCLP ",50,10,0,"[1,0,-1,-1]","[-1,-1,0,0]",1,2
"A12MUH7GQDNCLP ",50,11,0,"[1,-1,0,0]","[-1,0,-1,0]",1,2
"A12S04MVZ47FR0 ",13,0,0,"[1,1,0,-1]","[0,-1,0,1]",1,2
"A12S04MVZ47FR0 ",13,1,0,"[1,1,0,-1]","[0,-1,0,1]",1,2
"A12S04MVZ47FR0 ",13,2,0,"[1,-1,-1,0]","[-1,0,1,-1]",0,1
"A12S04MVZ47FR0 ",13,3,0,"[-1,0,1,-1]","[-1,1,0,-1]",0,1
"A12S04MVZ47FR0 ",13,4,0,"[-1,-1,1,0]","[1,0,-1,0]",1,2
"A12S04MVZ47FR0 ",13,5,0,"[-1,0,-1,0]","[-1,-1,1,0]",0,1
"A12S04MVZ47FR0 ",13,6,0,"[0,1,1,1]","[-1,-1,1,0]",0,1
"A12S04MVZ47FR0 ",13,7,0,"[0,1,0,-1]","[-1,0,1,-1]",0,2
"A12VPXFUENESUY ",84,0,0,"[0,0,1,1]","[-1,-1,0,0]",1,2
"A12VPXFUENESUY ",84,1,0,"[0,0,1,1]","[-1,-1,0,0]",1,2
"A13Y8PR6LC5G7P ",6,0,0,"[1,1,1,0]","[1,1,0,0]",1,2
"A13Y8PR6LC5G7P ",6,1,0,"[1,1,1,0]","[1,1,0,0]",1,2
